336,0
337,2
338,1
339,0
340,2
341,0
342,1
343,8
344,8
345,5
346,6
347,4
348,4
349,6
350,0
351,2
352,7
353,7
354,3
355,2
356,0
357,1
358,2
359,3
360,2
361,1
362,1
363,1
364,1
365,0
366,1
367,9
368,4
369,3
370,4
371,6
372,5
373,6
374,5
375,2
376,8
377,4
378,2
379,2
380,2
381,4
382,0
383,1
384,2
385,0
386,2
387,0
388,2
389,1
390,1
391,9
392,5
393,4
394,5
395,3
396,2
397,1
398,7
399,8
400,2
401,3
402,3
403,3
404,0
405,2
406,0
407,2
408,0
409,2
410,1
411,1
412,1
413,0
414,2
415,2
416,2
417,4
418,5
419,3
420,3
421,3
422,3
423,6
424,4
425,6
426,3
427,0
428,2
429,2
430,3
431,0
432,2
433,1
434,1
435,0
436,2
437,1
438,1
439,2
440,7
441,2
442,6
443,1
444,2
445,3
446,4
447,6
448,5
449,4
450,1
451,2
452,2
453,1
454,2
455,2
456,1
457,1
458,1
459,1
460,1
461,1
462,2
463,2
464,4
465,7
466,2
467,2
468,2
469,4
470,3
471,1
472,2
473,3
474,2
475,0
476,2
477,1
478,2
479,4
480,13
481,8
482,2
483,0
484,1
485,0
486,2
487,1
488,0
489,2
490,0
491,1
492,1
493,1
494,4
495,0
496,2
497,4
498,0
499,1
500,1
501,2
502,4
503,1
