,0
2012-08-09 00:00:00,3.360085467501157
2012-08-09 01:00:00,3.2276937131606314
2012-08-09 02:00:00,3.1181071735300203
2012-08-09 03:00:00,2.425748993746237
2012-08-09 04:00:00,3.572321281866569
2012-08-09 05:00:00,3.0807517880805615
2012-08-09 06:00:00,2.865015522010308
2012-08-09 07:00:00,3.0857406660581437
2012-08-09 08:00:00,3.535011617756588
2012-08-09 09:00:00,2.616417802950884
2012-08-09 10:00:00,3.147869405021401
2012-08-09 11:00:00,3.9517765876748823
2012-08-09 12:00:00,3.9154665959129606
2012-08-09 13:00:00,2.594640028887559
2012-08-09 14:00:00,3.0646657901774343
2012-08-09 15:00:00,3.744598078261454
2012-08-09 16:00:00,3.9052279186822614
2012-08-09 17:00:00,3.2355789627984466
2012-08-09 18:00:00,3.9733588324031706
2012-08-09 19:00:00,4.19543243903078
2012-08-09 20:00:00,3.7773065628744122
2012-08-09 21:00:00,2.7098589729626257
2012-08-09 22:00:00,3.209268305863325
2012-08-09 23:00:00,3.518138140670228
2012-08-10 00:00:00,4.003825570533578
2012-08-10 01:00:00,1.528557547832024
2012-08-10 02:00:00,2.0020396906734175
2012-08-10 03:00:00,3.6693797656609686
2012-08-10 04:00:00,3.1672469275145088
2012-08-10 05:00:00,1.8803044761490721
2012-08-10 06:00:00,2.7019449254839873
2012-08-10 07:00:00,3.377710031970955
2012-08-10 08:00:00,2.7021225160124707
2012-08-10 09:00:00,2.0556057325323276
2012-08-10 10:00:00,3.1700761740819923
2012-08-10 11:00:00,3.7621432438669244
2012-08-10 12:00:00,3.14162451489708
2012-08-10 13:00:00,2.240785622591196
2012-08-10 14:00:00,2.8601142392792394
2012-08-10 15:00:00,3.456992809338823
2012-08-10 16:00:00,3.4748239738336015
2012-08-10 17:00:00,3.0167522867426095
2012-08-10 18:00:00,3.555228348679792
2012-08-10 19:00:00,3.806863862350176
2012-08-10 20:00:00,3.4135899475918783
2012-08-10 21:00:00,2.477112533924417
2012-08-10 22:00:00,2.748437113513663
2012-08-10 23:00:00,3.127648720543601
2012-08-11 00:00:00,4.015390278948039
2012-08-11 01:00:00,1.4342553504607154
2012-08-11 02:00:00,1.8781177117119432
2012-08-11 03:00:00,3.431398545217299
2012-08-11 04:00:00,3.349164469991501
2012-08-11 05:00:00,1.8160892319329696
2012-08-11 06:00:00,2.337161195292609
2012-08-11 07:00:00,3.3735470859247774
2012-08-11 08:00:00,2.8261785776378425
2012-08-11 09:00:00,1.794120191182352
2012-08-11 10:00:00,2.9229539361824077
2012-08-11 11:00:00,3.8679739927484986
2012-08-11 12:00:00,3.0028301872326493
2012-08-11 13:00:00,1.981404722298478
2012-08-11 14:00:00,2.8481929685404292
2012-08-11 15:00:00,3.4547119371096215
2012-08-11 16:00:00,3.1445272189504783
2012-08-11 17:00:00,2.9019669028708455
2012-08-11 18:00:00,3.534931330933605
2012-08-11 19:00:00,3.577975056440289
2012-08-11 20:00:00,3.191411961215891
2012-08-11 21:00:00,2.597934026980835
2012-08-11 22:00:00,2.599176413393881
2012-08-11 23:00:00,2.8219329971115905
2012-08-12 00:00:00,3.7664294689059847
2012-08-12 01:00:00,1.7301495692107023
2012-08-12 02:00:00,1.8595738997721416
2012-08-12 03:00:00,3.4754001714320606
2012-08-12 04:00:00,3.1757989385365017
2012-08-12 05:00:00,1.7402165163823542
2012-08-12 06:00:00,2.423129322502326
2012-08-12 07:00:00,3.3556971564870897
2012-08-12 08:00:00,2.6092962727827946
2012-08-12 09:00:00,1.691228419739547
2012-08-12 10:00:00,2.999994135023344
2012-08-12 11:00:00,3.7587383853528795
2012-08-12 12:00:00,2.768687705890148
2012-08-12 13:00:00,1.8340507516331888
2012-08-12 14:00:00,2.779690058070611
2012-08-12 15:00:00,3.2647173255823105
2012-08-12 16:00:00,2.9292468782287733
2012-08-12 17:00:00,2.64468920953588
2012-08-12 18:00:00,3.2675693775437114
2012-08-12 19:00:00,3.3329957686459943
2012-08-12 20:00:00,3.0060620996927323
2012-08-12 21:00:00,2.2933361339961515
2012-08-12 22:00:00,2.279916127051117
2012-08-12 23:00:00,2.5550792942419744
2012-08-13 00:00:00,1.7166707910815815
2012-08-13 01:00:00,2.35198257576241
2012-08-13 02:00:00,3.8860899611470034
2012-08-13 03:00:00,3.279516812605737
2012-08-13 04:00:00,2.1301514692623362
2012-08-13 05:00:00,2.7989663612476727
2012-08-13 06:00:00,3.5896399408483863
2012-08-13 07:00:00,2.9728841065868856
2012-08-13 08:00:00,2.444413307365472
2012-08-13 09:00:00,3.004630151069399
2012-08-13 10:00:00,3.338708889051577
2012-08-13 11:00:00,2.8598309223802176
2012-08-13 12:00:00,2.6690966838097854
2012-08-13 13:00:00,3.070376369520909
2012-08-13 14:00:00,3.1638727403875797
2012-08-13 15:00:00,2.8402031502730214
2012-08-13 16:00:00,2.814017841935589
2012-08-13 17:00:00,3.0703410735800865
2012-08-13 18:00:00,3.055545624381988
2012-08-13 19:00:00,2.859017390262765
2012-08-13 20:00:00,2.8986601218286463
2012-08-13 21:00:00,3.0463893399933855
2012-08-13 22:00:00,2.9952496584127672
2012-08-13 23:00:00,2.8879042766239276
2012-08-14 00:00:00,2.8867774679915277
2012-08-14 01:00:00,2.838519430396018
2012-08-14 02:00:00,3.210565256666704
2012-08-14 03:00:00,3.2996800281851777
2012-08-14 04:00:00,3.09219987931922
2012-08-14 05:00:00,2.937589968839919
2012-08-14 06:00:00,3.1543316254151827
2012-08-14 07:00:00,3.1421326715422486
2012-08-14 08:00:00,3.0001681447384296
